# Spice subsumption cohort manifest
# recorded_at=2026-07-16
# suite_tests=2249
# analyzed_test_contexts=1421
# production_files=159
# suite_without_analyzed_context=828
# findings=316
# cohorts=239
status	cohort_id	relation	candidate_count	representative
deferred	strict-subset-7d5757c6f82c	strict-subset	2	tests/test_livebusevents.py::test_lane_subscription_pushes_structural_final_status
deferred	strict-subset-52c99345ef1e	strict-subset	2	tests/test_livebusfocus.py::test_pending_focus_configures_before_subscribe_releases_queued_changes
deferred	strict-subset-67f3adc31d97	strict-subset	2	tests/test_messagepayload.py::test_messages_payload_round_trips_ack_context_attachments
deferred	strict-subset-bfc0eac27518	strict-subset	2	tests/test_policyscopes.py::test_repo_doc_guard_uses_actor_path_jittered_flex_ceiling
deferred	strict-subset-9b89c8464c35	strict-subset	2	tests/test_precommitpolicy.py::test_doc_cap_reads_scoped_limit_and_unlimited_exemption
deferred	strict-subset-74ed4a9bb55a	strict-subset	2	tests/test_serve.py::test_task_burndown_metrics_endpoint_projects_team_and_agent_series
deferred	strict-subset-e66d200f36ad	strict-subset	2	tests/test_serve.py::test_team_historical_metrics_endpoint_projects_membership_intervals
deferred	strict-subset-0a6664c58a43	strict-subset	2	tests/test_serveroutes.py::test_index_links_and_serves_packaged_favicon
deferred	strict-subset-6083b9869887	strict-subset	2	tests/test_sessionbriefing.py::test_briefing_surfaces_learning_from_prior_task_done
deferred	strict-subset-16253e3083da	strict-subset	2	tests/test_shape.py::test_name_cluster_threshold_defaults_to_four
deferred	strict-subset-a0461257711b	strict-subset	2	tests/test_shellhookstartup.py::test_zshenv_hook_reexec_restores_for_nested_shells
deferred	strict-subset-acac433e3344	strict-subset	2	tests/test_stickyseam.py::test_repo_doc_peer_claim_redirects_guard_error
deferred	strict-subset-271236df4754	strict-subset	2	tests/test_taskcli.py::test_task_list_parse_error_points_to_limit_example
deferred	strict-subset-4e96a2b45a53	strict-subset	2	tests/test_taskdocclassifier.py::test_siblings_sharing_a_parent_qualify_by_distinguishing_words
deferred	strict-subset-773dcbe05929	strict-subset	2	tests/test_taskdocrefusals.py::test_document_refusal_fires_exact_sentence_before_any_write[acceptance-pipe]
deferred	strict-subset-d5964cefaa7e	strict-subset	2	tests/test_taskdocrefusals.py::test_document_refusal_fires_exact_sentence_before_any_write[empty]
deferred	strict-subset-975244bc27ee	strict-subset	2	tests/test_taskdocrefusals.py::test_document_refusal_fires_exact_sentence_before_any_write[no-ascii-title]
deferred	strict-subset-943fb76496b6	strict-subset	2	tests/test_taskflow.py::test_task_capture_mints_task_over_loose_then_done_captures_it
deferred	strict-subset-379e16395a41	strict-subset	2	tests/test_taskflow.py::test_task_done_distills_and_reconfirms_project_stem_learning
deferred	strict-subset-6d3cc416ff3a	strict-subset	2	tests/test_taskflow.py::test_task_done_next_selects_and_claims_follow_on_task[explicit]
deferred	strict-subset-054b2a59e287	strict-subset	2	tests/test_taskflow.py::test_task_done_review_flow_and_author_claim_separation
deferred	strict-subset-1fa654bba525	strict-subset	2	tests/test_taskflow.py::test_task_next_takes_over_stale_peer_claim
deferred	strict-subset-81c872221cfe	strict-subset	2	tests/test_tasks.py::test_bound_quality_gate_blocks_completion_while_metric_nonzero
deferred	strict-subset-b2172bd870ac	strict-subset	2	tests/test_teamconfigwake.py::test_update_team_config_does_not_wake_the_lane_watchers
deferred	equal-feature-a1a7b29154f6	equal-feature	1	tests/test_activation.py::test_activation_packet_reports_failed_claim_renewal
deferred	equal-feature-df8de249b5da	equal-feature	1	tests/test_agentrun.py::test_main_does_not_reexec_from_spice_source_worktree
deferred	equal-feature-e2c468c7f977	equal-feature	1	tests/test_audio.py::test_external_speech_timeout_is_configurable
deferred	equal-feature-01ebf6a6756d	equal-feature	1	tests/test_boundedwaits.py::test_operator_appearance_defaults_to_light_when_probe_stalls
deferred	equal-feature-b607d5fe341c	equal-feature	1	tests/test_configlayer.py::test_each_configuration_layer_can_win_independently[system]
deferred	equal-feature-1294d4986e27	equal-feature	1	tests/test_demo.py::test_demo_command_is_registered_with_zero_setup_help
deferred	equal-feature-1ab1fb81dcea	equal-feature	1	tests/test_directivestats.py::test_acking_is_idempotent_and_unknown_keys_are_noops
deferred	equal-feature-a1f164b827f5	equal-feature	1	tests/test_doctor.py::test_dev_doctor_parser_exposes_fix_flag
deferred	equal-feature-66d08036ce92	equal-feature	1	tests/test_maximmetrics.py::test_maxim_report_parser_wires_report_action
deferred	equal-feature-7bae7cdabeb1	equal-feature	1	tests/test_metricretention.py::test_prune_drops_old_series_but_keeps_aggregates_and_recent
deferred	equal-feature-60bcfee1431e	equal-feature	1	tests/test_metricseries.py::test_task_lifecycle_events_rewrite_across_agent_id_assignment
deferred	equal-feature-3cef6fa12ea9	equal-feature	1	tests/test_shellhook.py::test_agent_environment_precomputes_configured_shell_wrapper_block
deferred	equal-feature-a91b34c4e53c	equal-feature	1	tests/test_shellhook.py::test_worktree_python_wrapper_targets_venv_interpreter
deferred	equal-feature-caa6209c9c0e	equal-feature	1	tests/test_taskbatch.py::test_add_batch_deferred_field_creates_waiting_task
deferred	strict-subset-872655cd38c6	strict-subset	1	tests/test_acks.py::test_backticked_key_with_colon_body
deferred	strict-subset-d369d1a194d1	strict-subset	1	tests/test_acks.py::test_bold_wrapped_ack_header_leaves_no_stray_markers
deferred	strict-subset-10da56dbac31	strict-subset	1	tests/test_acks.py::test_resend_lineage_end_to_end_contract
deferred	strict-subset-378249301144	strict-subset	1	tests/test_acks.py::test_summarize_ack_archival_retires_lineage_record_with_dropped_z_alias
deferred	strict-subset-448f6ecaaf86	strict-subset	1	tests/test_acks.py::test_supervised_nack_reports_refused_key
deferred	strict-subset-c99725de95e9	strict-subset	1	tests/test_acktasks.py::test_supervised_ack_missing_acceptance_routes_inline_task_to_plan
deferred	strict-subset-bc820d7013c0	strict-subset	1	tests/test_acktasks.py::test_supervised_ack_reports_noop_when_no_key_is_named
deferred	strict-subset-daceab68fc82	strict-subset	1	tests/test_activation.py::test_activation_packet_renews_claim_after_baseline_refresh
deferred	strict-subset-87578a6c1ac6	strict-subset	1	tests/test_agentcli.py::test_agent_import_binds_external_thread_from_either_uuid_form
deferred	strict-subset-960dc6e551fb	strict-subset	1	tests/test_agentcli.py::test_agent_reply_retires_acked_key_from_stdin
deferred	strict-subset-b4e9206bf757	strict-subset	1	tests/test_agentcli.py::test_working_state_snapshot_collects_live_fields
deferred	strict-subset-30768e5b37df	strict-subset	1	tests/test_agentimport.py::test_import_carries_predecessor_team_slot_to_successor
deferred	strict-subset-6fae9425e53f	strict-subset	1	tests/test_audio.py::test_default_speech_backend_uses_macos_say_config
deferred	strict-subset-faa6cfe2de87	strict-subset	1	tests/test_audio.py::test_external_speech_backend_reports_command_failure
deferred	strict-subset-8e589913190d	strict-subset	1	tests/test_boundedwaits.py::test_agent_run_watch_streams_past_connect_deadline_and_stops_on_server_close
deferred	strict-subset-14d4f4f16f61	strict-subset	1	tests/test_boundedwaits.py::test_worktree_dirty_bounds_probe_and_resolves_clean_status_on_stall
deferred	strict-subset-37d979ed69bd	strict-subset	1	tests/test_claudedriver.py::test_claude_command_leaves_commit_attribution_to_the_harness
deferred	strict-subset-b9358d955ae2	strict-subset	1	tests/test_claudedriver.py::test_claude_json_stdout_scanner_captures_assistant_prose
deferred	strict-subset-d080c3e111fd	strict-subset	1	tests/test_claudedriver.py::test_select_driver_reads_worktree_config
deferred	strict-subset-46f17b8abdba	strict-subset	1	tests/test_command.py::test_inbox_injector_repeats_already_shown_item_after_new_key
deferred	strict-subset-b09240f012ad	strict-subset	1	tests/test_command.py::test_run_agent_command_stderr_reflects_live_working_state_fields
deferred	strict-subset-61cf09307ec8	strict-subset	1	tests/test_command.py::test_shadow_environment_masks_upstream_to_self
deferred	strict-subset-5ae6dec73043	strict-subset	1	tests/test_command.py::test_wrapper_plain_exec_starts_side_channel_watch
deferred	strict-subset-3a5a1f51f82c	strict-subset	1	tests/test_commitmsg.py::test_commit_message_trailer_rejection_reports_the_governing_reason
deferred	strict-subset-33c3a94efc35	strict-subset	1	tests/test_complexityhotspots.py::test_complexity_hotspots_cli_limit_overrides_config
deferred	strict-subset-e0e3aee9a2c7	strict-subset	1	tests/test_config.py::test_four_scope_precedence_clears_to_reveal_each_earlier_layer
deferred	strict-subset-67a737ed345d	strict-subset	1	tests/test_config.py::test_pyproject_agent_layer_provides_launch_defaults
deferred	strict-subset-a696d5540447	strict-subset	1	tests/test_demo.py::test_demo_command_is_registered_with_zero_setup_help
deferred	strict-subset-1a367c08c80c	strict-subset	1	tests/test_directivestats.py::test_each_directive_counts_once_and_ack_is_a_subset_of_send
deferred	strict-subset-f12fa50646c1	strict-subset	1	tests/test_doctor.py::test_doctor_renders_supported_state_roots_for_linked_worktrees
deferred	strict-subset-3bcdc28697c2	strict-subset	1	tests/test_doctor.py::test_doctor_reports_missing_hooks_and_fix_installs_them
deferred	strict-subset-744e10c8b173	strict-subset	1	tests/test_envpolicy.py::test_env_policy_cli_writes_baseline_for_current_findings
deferred	strict-subset-d73b7ea260f8	strict-subset	1	tests/test_envpolicy.py::test_env_policy_previous_line_marker_waives_next_statement
deferred	strict-subset-0956c371a9f5	strict-subset	1	tests/test_extensionintegration.py::test_declared_extension_fixture_shadow_entries_fail_loudly_by_surface[spice.drivers-names0-driver-codex-shadows built-in]
deferred	strict-subset-d5502edda54f	strict-subset	1	tests/test_extensionintegration.py::test_doctor_namespace_guard_fails_when_second_checkout_is_on_sys_path
deferred	strict-subset-6e56c64ceb5b	strict-subset	1	tests/test_extensions.py::test_agent_driver_registry_loads_toy_driver_from_fixture_wheel
deferred	strict-subset-12b3be4367d4	strict-subset	1	tests/test_gitsyncpublish.py::test_integrate_and_publish_creates_baseline_first_merge_and_pushes
deferred	strict-subset-04b526cb0314	strict-subset	1	tests/test_gitsyncpublish.py::test_integrate_and_publish_retries_non_fast_forward_publish_race
deferred	strict-subset-a5887473f38d	strict-subset	1	tests/test_gitsyncpublish.py::test_publish_storm_hook_failure_recovers_then_keeps_every_peer_path
deferred	strict-subset-b7ec5edc282a	strict-subset	1	tests/test_hermeticity.py::test_python_routes_to_deployment_interpreter_when_worktree_has_venv
deferred	strict-subset-c6c7bda3af86	strict-subset	1	tests/test_hooks.py::test_complexity_guard_reads_configured_bounds
deferred	strict-subset-89615e14759d	strict-subset	1	tests/test_identitypayload.py::test_serve_agent_identity_splits_actual_and_desired_launch
deferred	strict-subset-ba145304a9e8	strict-subset	1	tests/test_images.py::test_paired_view_image_call_collapses_into_its_output
deferred	strict-subset-bf001af4444a	strict-subset	1	tests/test_ingest.py::test_active_claim_supplies_origin_and_project
deferred	strict-subset-0be2714a01b9	strict-subset	1	tests/test_ingest.py::test_apply_creates_dependency_postorder_with_atomic_identity_and_no_auto_due
deferred	strict-subset-7110b0e83c66	strict-subset	1	tests/test_ingest.py::test_family_matching_scopes_rows_and_keeps_completed_work
deferred	strict-subset-877f3c091550	strict-subset	1	tests/test_lanepayload.py::test_status_line_pairs_activity_preview_with_activity_timestamp
deferred	strict-subset-4a49e9d8bcd0	strict-subset	1	tests/test_layeredconsumers.py::test_invalid_layered_consumer_value_reports_winning_key_source_and_path[policy-configured0-repository-relative_path0]
deferred	strict-subset-76954acbabe9	strict-subset	1	tests/test_layeredconsumers.py::test_repository_spice_toml_overrides_every_consumer_domain
deferred	strict-subset-045877ce525b	strict-subset	1	tests/test_lifecycle.py::test_ensure_agent_applies_phase_model_for_claimed_task
deferred	strict-subset-96d090232043	strict-subset	1	tests/test_lifecycle.py::test_ensure_agent_dry_run_covers_start_resume_and_renew
deferred	strict-subset-099c9b91b273	strict-subset	1	tests/test_lifecycle.py::test_ensure_agent_dry_run_uses_relative_skill_prompt_for_claude
deferred	strict-subset-622f6e91eda0	strict-subset	1	tests/test_lifecycle.py::test_ensure_agent_uses_configured_claude_sonnet_family
deferred	strict-subset-187ba5b5e5b2	strict-subset	1	tests/test_livebus.py::test_lanes_subscribe_orders_initial_payload_before_setup_race_push
deferred	strict-subset-e869704a3c39	strict-subset	1	tests/test_livebusevents.py::test_lane_watch_paths_include_agent_state_file
deferred	strict-subset-d9555d25a896	strict-subset	1	tests/test_magicnums.py::test_magic_numbers_guard_reads_configured_threshold
deferred	strict-subset-a516ab94d829	strict-subset	1	tests/test_markdown.py::test_markdown_preserves_three_nested_quote_levels
deferred	strict-subset-eda1beac171e	strict-subset	1	tests/test_markdown.py::test_markdown_splits_paragraphs_and_lists_without_blank_lines
deferred	strict-subset-6e2217fb3570	strict-subset	1	tests/test_maximpropose.py::test_maxim_file_proposals_cli_creates_deferred_hidden_triage_task
deferred	strict-subset-c3c0fa4b7f56	strict-subset	1	tests/test_maximpropose.py::test_maxim_proposal_source_records_preserve_ack_ledger_evidence_order
deferred	strict-subset-adcf1ddecb3c	strict-subset	1	tests/test_maximpropose.py::test_maxim_propose_cli_files_and_reports_inspectable_hidden_task
deferred	strict-subset-869596f7fd81	strict-subset	1	tests/test_maxims.py::test_maxim_reminder_gate_suppresses_same_combined_body_until_compaction
deferred	strict-subset-276b1d807b2c	strict-subset	1	tests/test_maxims.py::test_repo_config_declares_new_maxim_bag_for_scan_and_watchdog
deferred	strict-subset-5354e48a0659	strict-subset	1	tests/test_messagepayload.py::test_assistant_message_payload_splits_ack_and_nack_polarity
deferred	strict-subset-e8cc0345a278	strict-subset	1	tests/test_metrics.py::test_transcript_metric_ingestion_advances_cursor_without_double_count
deferred	strict-subset-e54f00374aa2	strict-subset	1	tests/test_metricseries.py::test_task_distribution_series_shows_per_agent_work_share
deferred	strict-subset-c64731c93969	strict-subset	1	tests/test_policyconfig.py::test_jittered_flex_limit_is_stable_bounded_and_actor_scoped
deferred	strict-subset-955664e4b0f8	strict-subset	1	tests/test_policyconfig.py::test_policy_resolver_defaults_match_policy_constants
deferred	strict-subset-2ec71e8564e3	strict-subset	1	tests/test_policyconfig.py::test_policy_resolver_names_invalid_config_key[\n            [tool.spice.policy.limits]\n            file_loc = "large"\n            -policy\\.limits\\.file_loc \\(source=pyproject path=.*pyproject\\.toml\\)]
deferred	strict-subset-6c40660a2474	strict-subset	1	tests/test_policyconsumers.py::test_configured_magic_c_grammar_suffix_is_scanned
deferred	strict-subset-ab7c68bd4ad5	strict-subset	1	tests/test_precommitpolicy.py::test_default_repo_truth_docs_apply_without_configuration
deferred	strict-subset-381831914273	strict-subset	1	tests/test_precommitpolicy.py::test_doc_within_cap_reports_no_violations
deferred	strict-subset-dea832ca3219	strict-subset	1	tests/test_precommitpolicy.py::test_policy_pre_commit_extensions_run_after_builtin_steps
deferred	strict-subset-9e49c7bf703d	strict-subset	1	tests/test_precommitpolicy.py::test_private_internal_coupling_allowlist_is_exact_for_this_repo
deferred	strict-subset-0c2ad2b4d78a	strict-subset	1	tests/test_precommitpolicy.py::test_reachability_guard_fails_on_configured_module_provider_finding
deferred	strict-subset-8e928a5dd9aa	strict-subset	1	tests/test_precommitpolicy.py::test_taste_pre_commit_guard_reports_exact_inclusive_inflection
deferred	strict-subset-9f9401c5551d	strict-subset	1	tests/test_reachability.py::test_reachability_partitions_provider_kinds_by_gate
deferred	strict-subset-bfd4c862941d	strict-subset	1	tests/test_release.py::test_release_range_mode_is_read_only_and_prints_listing
deferred	strict-subset-078024abd5a5	strict-subset	1	tests/test_release.py::test_release_runner_streams_or_captures_output_as_declared
deferred	strict-subset-726ec3326e62	strict-subset	1	tests/test_replycardpayload.py::test_reply_card_cursor_keeps_append_window_to_transcript_items
deferred	strict-subset-e51389af6f8a	strict-subset	1	tests/test_resourcelocks.py::test_held_named_lock_returns_configured_contention_code
deferred	strict-subset-504c9ba88791	strict-subset	1	tests/test_rtkfallback.py::test_direct_rewrite_outcomes_execute_one_expected_child[exit-zero-rewrite-configured-rtk-response0-expected_command0-]
deferred	strict-subset-2b3cf74aa70b	strict-subset	1	tests/test_rtkfallback.py::test_direct_rewrite_outcomes_execute_one_expected_child[missing-basename-missing-rtk-response3-expected_command3-launch-not-found]
deferred	strict-subset-a9c6bbef1b16	strict-subset	1	tests/test_rtkfallback.py::test_native_bypass_preserves_worktree_routing_and_child_environment
deferred	strict-subset-4c175a8c7f67	strict-subset	1	tests/test_selfexec.py::test_worktree_local_python_none_without_venv
deferred	strict-subset-62e2f15db884	strict-subset	1	tests/test_serve.py::test_message_image_route_accepts_zero_item_index
deferred	strict-subset-634cbbd4ac2c	strict-subset	1	tests/test_serve.py::test_serve_parser_exposes_until_path_help
deferred	strict-subset-394a2e38dd18	strict-subset	1	tests/test_serve.py::test_work_tree_send_deadletters_message_after_generic_ensure_failure
deferred	strict-subset-0ac18f261dbe	strict-subset	1	tests/test_serve.py::test_work_tree_send_reuses_pending_key_for_exact_duplicate_text
deferred	strict-subset-2ccf2426bb35	strict-subset	1	tests/test_serve.py::test_work_tree_send_writes_inbox_and_returns_attachment_payload
deferred	strict-subset-6fadd9927b9c	strict-subset	1	tests/test_servemessages.py::test_append_only_read_uses_cursor_delta_and_matches_full_window
deferred	strict-subset-1abaf2690657	strict-subset	1	tests/test_serverenewal.py::test_stopped_pending_renewal_starts_successor_and_moves_team_membership
deferred	strict-subset-94b755e4afc3	strict-subset	1	tests/test_serveroutes.py::test_livebus_routes_metric_series_requests
deferred	strict-subset-bd2c1caec268	strict-subset	1	tests/test_serveroutes.py::test_livebus_routes_send_task_drain_team_command_and_history_requests
deferred	strict-subset-c039f01f1657	strict-subset	1	tests/test_servetargetteams.py::test_task_drain_uses_unstarted_target_actor_without_binding_thread
deferred	strict-subset-e1f5eb14aa74	strict-subset	1	tests/test_servetargetteams.py::test_unstarted_send_rewrites_placeholder_membership_to_ensured_thread
deferred	strict-subset-4ed23f7978b7	strict-subset	1	tests/test_servetargetteams.py::test_unstarted_target_id_membership_is_visible_in_lane_payload
deferred	strict-subset-ae7373532db2	strict-subset	1	tests/test_servetargetteams.py::test_unstarted_target_id_membership_is_visible_in_target_payload
deferred	strict-subset-513e395b507a	strict-subset	1	tests/test_serveversion.py::test_index_html_injects_runtime_version_into_branding
deferred	strict-subset-4884bcb0e3b9	strict-subset	1	tests/test_sessionbriefing.py::test_briefing_recovery_uses_parsed_intent_and_prior_steering
deferred	strict-subset-91d871e6a2c8	strict-subset	1	tests/test_sessionbriefing.py::test_briefing_renders_supervised_fixture_recovery
deferred	strict-subset-095ef9364663	strict-subset	1	tests/test_sessionbriefingrender.py::test_briefing_deduplicates_identical_asks_and_finals
deferred	strict-subset-ad18f6559c49	strict-subset	1	tests/test_sessionbriefingrender.py::test_briefing_filters_turns_and_renders_git_posture
deferred	strict-subset-231b71a99b09	strict-subset	1	tests/test_sessionbriefingrender.py::test_briefing_parses_only_the_selected_compaction_tail
deferred	strict-subset-294869e19294	strict-subset	1	tests/test_sessionbriefingrender.py::test_briefing_ranks_ack_db_asks_by_recency_then_disposition
deferred	strict-subset-0eded5967b6e	strict-subset	1	tests/test_sessioncommands.py::test_command_records_pair_function_calls_with_exit_outputs
deferred	strict-subset-5b77efb96924	strict-subset	1	tests/test_sessions.py::test_mint_incepted_shape_and_collision_advance
deferred	strict-subset-bd46a9ffd45d	strict-subset	1	tests/test_sessions.py::test_session_briefing_reads_direct_gzip_jsonl_path
deferred	strict-subset-d213f6d0a8b3	strict-subset	1	tests/test_sessions.py::test_session_thread_reports_missing_driver_state
deferred	strict-subset-6f43d472e311	strict-subset	1	tests/test_sessions.py::test_session_thread_resolves_claude_transcript_by_driver_owner
deferred	strict-subset-f42fe36efb76	strict-subset	1	tests/test_shape.py::test_package_roots_explicit_policy_overrides_derivation
deferred	strict-subset-2f54037e44ac	strict-subset	1	tests/test_shape.py::test_python_typecheck_argv_appends_fixed_flags_and_targets
deferred	strict-subset-78ca2ed304d0	strict-subset	1	tests/test_shape.py::test_study_shape_cli_fails_on_name_cluster
deferred	strict-subset-58fee7de05a4	strict-subset	1	tests/test_sharedsidecars.py::test_lane_local_sidecars_preserve_distinct_worktree_state
deferred	strict-subset-0a1624697f03	strict-subset	1	tests/test_shellhook.py::test_agent_environment_redirects_zsh_compdump_outside_shellhooks_dir
deferred	strict-subset-2e0da7a981f0	strict-subset	1	tests/test_shellhook.py::test_agent_run_shell_command_loads_wrappers_from_ambient_hook_env
deferred	strict-subset-b6cd54e18f07	strict-subset	1	tests/test_shellhook.py::test_canonical_and_resolved_rtk_direct_inputs_preserve_their_identity
deferred	strict-subset-73083bec89ec	strict-subset	1	tests/test_shellhook.py::test_configured_agent_environment_installs_driver_shell_steering_hooks
deferred	strict-subset-e44d4ce56c87	strict-subset	1	tests/test_shellhook.py::test_wrapper_degrades_malformed_direct_rewrite_to_original_execution
deferred	strict-subset-ef74745bada8	strict-subset	1	tests/test_shellhook.py::test_wrapper_does_not_reroute_spice_commands_under_single_install
deferred	strict-subset-bc0b3b67705b	strict-subset	1	tests/test_shellhook.py::test_wrapper_git_route_inherits_ambient_supervisor_environment
deferred	strict-subset-9917128008e5	strict-subset	1	tests/test_shellhookextensions.py::test_agent_wrapper_lines_keep_builtin_and_configured_groups_compatible
deferred	strict-subset-8fe724d587de	strict-subset	1	tests/test_shellhookpipefail.py::test_stage_two_shell_hooks_enable_pipefail[bash-BASH_ENV-bash_env]
deferred	strict-subset-8ad316d299fb	strict-subset	1	tests/test_shellhookstartup.py::test_bash_env_hook_reexec_restores_for_nested_shells
deferred	strict-subset-756a21d7bde2	strict-subset	1	tests/test_shellhookstartup.py::test_zsh_login_hook_reexec_does_not_loop_when_active_zdotdir_is_hook
deferred	strict-subset-2221e6d20b31	strict-subset	1	tests/test_shellhookwrappers.py::test_agent_wrapper_lines_rejects_route_lacking_head_and_flags
deferred	strict-subset-67857781a11c	strict-subset	1	tests/test_steeringkey.py::test_steering_token_is_stable_base52_and_minted_once
deferred	strict-subset-d2729d91b7b0	strict-subset	1	tests/test_stickyseam.py::test_complexity_peer_claim_redirects_routine_board
deferred	strict-subset-1b4063e0c605	strict-subset	1	tests/test_stickyseam.py::test_complexity_reporting_scan_does_not_persist_sticky
deferred	strict-subset-2da573c1489a	strict-subset	1	tests/test_stickyseam.py::test_fileloc_reporting_scan_does_not_persist_sticky
deferred	strict-subset-91cd32ee65ee	strict-subset	1	tests/test_studies.py::test_asset_heavy_repo_scans_source_candidates_by_default
deferred	strict-subset-606afcb06a3f	strict-subset	1	tests/test_studies.py::test_changed_python_paths_skips_configured_test_roots
deferred	strict-subset-732f7db61dfb	strict-subset	1	tests/test_studies.py::test_js_comparison_pivot_is_flagged
deferred	strict-subset-7ac30ae8a81f	strict-subset	1	tests/test_studies.py::test_study_explicit_directory_reports_file_path_requirement
deferred	strict-subset-993593262d2e	strict-subset	1	tests/test_studycli.py::test_assertion_free_cli_json_create_tasks
deferred	strict-subset-8cc0c0155e48	strict-subset	1	tests/test_studycli.py::test_study_extension_command_from_fixture_wheel_runs_json_success
deferred	strict-subset-b368179df791	strict-subset	1	tests/test_submissions.py::test_submission_lifecycle_follows_real_watcher_events[idle]
deferred	strict-subset-0bd29bd01be8	strict-subset	1	tests/test_submissions.py::test_submission_lifecycle_follows_real_watcher_events[running]
deferred	strict-subset-3148f274de2c	strict-subset	1	tests/test_taskcli.py::test_task_add_missing_acceptance_honors_explicit_flow
deferred	strict-subset-95ba513199a8	strict-subset	1	tests/test_taskcli.py::test_task_resolve_wording_clears_active_claim_marker
deferred	strict-subset-9e11e7365131	strict-subset	1	tests/test_taskcli.py::test_task_review_then_marks_spawned_followup_as_cli_creation_surface
deferred	strict-subset-15f831aa3054	strict-subset	1	tests/test_taskcli.py::test_task_depends_not_after_cli_drops_edge
deferred	strict-subset-0fe7fa6b0ccb	strict-subset	1	tests/test_taskclishow.py::test_task_show_prints_merge_aware_diff_command_for_task_merge
deferred	strict-subset-3458fa33c9f5	strict-subset	1	tests/test_taskconfig.py::test_phase_launch_overrides_falls_back_for_unmapped_phase_or_driver
deferred	strict-subset-77551982d388	strict-subset	1	tests/test_taskcoordinationdeadlines.py::test_task_local_git_helpers_timeout_with_identity_and_recover[repo-root]
deferred	strict-subset-acb51fb98974	strict-subset	1	tests/test_taskdeferred.py::test_deferred_plan_to_todo_advancement_preserves_scheduling
deferred	strict-subset-e9e82b39a80c	strict-subset	1	tests/test_taskdeferred.py::test_reclaim_and_renewal_preserve_scheduling
deferred	strict-subset-b86fb5b72a08	strict-subset	1	tests/test_taskdeferred.py::test_unclaim_preserves_scheduling
deferred	strict-subset-6f6fec1768fc	strict-subset	1	tests/test_taskdocdialect.py::test_description_storage_normalizes_columns_tabs_and_blank_runs
deferred	strict-subset-890d1874e8fd	strict-subset	1	tests/test_taskdoclaws.py::test_apply_ledger_convergence_fixed_point_and_steady_reentrancy[named-tree]
deferred	strict-subset-4118390f58bc	strict-subset	1	tests/test_taskdocledger.py::test_export_round_trips_to_the_same_graph[ordered_sequence]
deferred	strict-subset-769ada330d9a	strict-subset	1	tests/test_taskdocrefusals.py::test_document_refusal_fires_exact_sentence_before_any_write[ambiguous-after]
deferred	strict-subset-f29a9f103c0e	strict-subset	1	tests/test_taskdocrefusals.py::test_document_refusal_fires_exact_sentence_before_any_write[duplicate-title]
deferred	strict-subset-5e0da645bd83	strict-subset	1	tests/test_taskdocrefusals.py::test_document_refusal_fires_exact_sentence_before_any_write[invalid-flow]
deferred	strict-subset-62b984fc5ba5	strict-subset	1	tests/test_taskdocrefusals.py::test_document_refusal_fires_exact_sentence_before_any_write[synthetic-root-collision]
deferred	strict-subset-a97165e5ad9d	strict-subset	1	tests/test_taskdocrefusals.py::test_document_refusal_fires_exact_sentence_before_any_write[unknown-after]
